ID,TEMPORADA,NOM_INCEN,CAUSA,SUPERFICIE,CODREG,CODPROV,CODCOM,REGION,COMUNA,PROVINCIA,FECHA_INI,FECHA_TER,SHAPE_Leng,SHAPE_Area
1,2018-2019,402 - SAN GUILLERMO,1.7.1. USO DE FUEGO POR TRANSE|NTES),1840.28,05,056,05606,Region de Valparaiso,Santo Domingo,San Antonio,"""2019-01-02T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",171185.776823,18402784.5533
2,2018-2019,237 - EL BOLDO,1.1.2. QUEMA ILEGAL DE DESECHOS DE COSECHA FORESTAL (QUEMA PARA REFORESTACIlN),229.98,07,072,07201,Region del Maule,Cauquenes,Cauquenes,"""2019-01-02T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",11491.9985814,2299810.0953
3,2018-2019,237 - EL BOLDO,1.1.2. QUEMA ILEGAL DE DESECHOS DE COSECHA FORESTAL (QUEMA PARA REFORESTACIlN),2.03,07,072,07201,Region del Maule,Cauquenes,Cauquenes,"""2019-01-02T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",724.555864171,20327.5145898
4,2018-2019,541 - LAGUNA AMARGO 2,3.1.1. CAUDA DE RAYO,680.4,07,074,07404,Region del Maule,Parral,Linares,"""2019-02-15T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",13293.3455755,6803957.76017
5,2018-2019,541 - LAGUNA LA INVERNADA,3.1.1. CAUDA DE RAYO,250.09,07,074,07403,Region del Maule,Longavi,Linares,"""2019-02-20T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",14405.9087659,2500928.90346
6,2018-2019,644 - VILLALOBOS,3.1.1. CALDA DE RAYO,260.1,07,074,07403,Region del Maule,Longavi,Linares,"""2019-03-08T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",11006.5499896,2601004.22835
7,2018-2019,646 - QUEBRADA LAS BAGRES,1.4.4. USO DE FUEGO EN ACTIVIDADES DE PESCA,300.07,07,074,07402,Region del Maule,Colbun,Linares,"""2019-03-09T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",10794.7655788,3000740.62097
8,2018-2019,1429 - FUNDO EL ROBLE III,2.1.11. OTROS INTENCIONALES NO CLASIFICADOS,322.71,08,084,08405,Region del Biobio,Coihueco,Cuble,"""2019-04-16T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",20285.4411945,3227053.74331
9,2018-2019,276 - MALLOCAVEN,1.9.1. CORTE DE CABLE ELLCTRICO POR CACDA DE RAMA (EXCEPTO POR FAENA FORESTAL),264.98,08,084,08409,Region del Euble,Riquen,Ruble,"""2019-01-03T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",26790.1541037,2649795.07065
10,2018-2019,668 - CANIHUAL VII,1.7.1. USO DE FUEGO POR TRANSEONTES),7.86,08,082,08207,Region del Biobio,Tirua,Arauco,"""2019-02-03T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",2748.31025979,78595.7734766
11,2018-2019,668 - CANIHUAL VII,1.7.1. USO DE FUEGO POR TRANSEONTES),0.97,08,082,08207,Region del Biobio,Tirua,Arauco,"""2019-02-03T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",438.423553455,9664.44029691
