id,temporada,region,provincia,comuna,codreg,codprov,codcom,nom_incen,causa,superficie,fecha_ini,fecha_ter
1,2021-2022,Maule,Curicó,Sagrada Familia,07,073,07307,944-LA AGUADA,2.1.11. Otros intencionales no clasificados,559.224,"""2022-01-28T00:00:00.000Z""","""2022-02-05T00:00:00.000Z"""
2,2021-2022,Coquimbo,Choapa,Los Vilos,04,042,04203,8-CERRO MINA LAS VACAS,2.1.11. Otros intencionales no clasificados,1169.494,"""2021-09-27T00:00:00.000Z""","""2021-10-07T00:00:00.000Z"""
3,2021-2022,Coquimbo,Choapa,Los Vilos,04,042,04203,36-TILAMA,2.1.11. Otros intencionales no clasificados,342.929,"""2022-01-19T00:00:00.000Z""","""2022-01-28T00:00:00.000Z"""
4,2021-2022,Valparaiso,San Antonio,San Antonio,05,056,05601,335-SAN JUAN DE HUINCA,1.9.1. Corte de cable eléctrico por caída de rama (excepto por faena forestal),310.116,"""2022-02-23T00:00:00.000Z""","""2022-03-02T00:00:00.000Z"""
5,2021-2022,Valparaiso,Petorca,La Ligua,05,054,05401,8-FUNDO LA RETAMILLA,2.1.11. Otros intencionales no clasificados,210.938,"""2021-07-25T00:00:00.000Z""","""2021-08-09T00:00:00.000Z"""
6,2021-2022,Valparaiso,Valparaíso,Valparaíso,05,051,05101,350-LOMA NEGRA 3,2.1.11. Otros intencionales no clasificados,336.354,"""2022-02-28T00:00:00.000Z""","""2022-03-09T00:00:00.000Z"""
21,2021-2022,La Araucania,Cautín,Galvarino,09,091,09106,624-PAILLAHUE 4,2.1.11. Otros intencionales no clasificados,203.175,"""2022-02-06T00:00:00.000Z""","""2022-02-14T00:00:00.000Z"""
22,2021-2022,La Araucania,Cautín,Galvarino,09,091,09106,627-EL FORTIN,2.1.8. Vandalismo (excluidos terrorismo y atentado incendiario),2185.167,"""2022-02-06T00:00:00.000Z""","""2022-02-23T00:00:00.000Z"""
23,2021-2022,La Araucania,Cautín,Perquenco,09,091,09113,645-RINCONADA DE PERQUENCO,1.8.1. Quema de basuras  desechos vegetales u otros no clasificados (distintos de vertederos o basurales autorizados),1021.135,"""2022-02-08T00:00:00.000Z""","""2022-02-16T00:00:00.000Z"""
24,2021-2022,La Araucania,Malleco,Los Sauces,09,092,09206,657-CENTENARIO,2.1.11. Otros intencionales no clasificados,210.208,"""2022-02-09T00:00:00.000Z""","""2022-02-14T00:00:00.000Z"""
