TEMPORADA,NOM_INCEN,FECHA_INI,SUPERFICIE,PROVINCIA,COMUNA,NUMERO_REG,CAUSA,REGION,CODCOM,CODPROV,CODREG,FECHA_TER
2022-2023,CERRO VIEJO,15-dic-2022 15:17,1252.757398,Marga Marga,Quilpue,159,2.1.11. Otros intencionales no clasificados,Valparaíso,5801,58,5,26-dic-2022 15:39
2022-2023,LA HIGUERA,12-may-2023 15:16,287.414597,Petorca,Zapallar,397,1.9.3. Corte de cable por caida de tendido elctrico o postacion,Valparaíso,5405,54,5,20-may-2023 18:21
2022-2023,QUEBRADA ESCOBAR,15-dic-2022 13:29,736.831978,Marga Marga,Villa Alemana,157,2.1.11. Otros intencionales no clasificados,Valparaíso,5804,58,5,21-dic-2022 18:43
2022-2023,HACIENDA SAN ENRIQUE,23-dic-2022 16:35,563.156816,San Antonio,Santo Domingo,179,1.8.1. Quema de basuras  desechos vegetales u otros no clasificados (distintos de vertederos o basurales autorizados),Valparaíso,5606,56,5,27-dic-2022 19:56
2022-2023,HACIENDA LAS PALMAS,21-nov-2022 15:09,247.770079,Marga Marga,Quilpue,84,2.1.11. Otros intencionales no clasificados,Valparaíso,5801,58,5,25-nov-2022 20:28
2022-2023,LA CABAÑA,6-dic-2022 16:00,1902.894515,Colchagua,Lolol,99,1.9.3. Corte de cable por caida de tendido electrico o postacion,O'Higgins,6304,63,6,14-dic-2022 22:30
2022-2023,EL MEMBRILLO,9-feb-2023 15:38,1131.576424,Colchagua,Lolol,300,1.2.5. Chispa de maquinaria en faena agricolas,O'Higgins,6304,63,6,13-feb-2023 19:05
2022-2023,SAN MIGUEL DE VILUCO,1-feb-2023 19:40,306.667154,Cardenal Caro,La Estrella,285,1.2.5. Chispa de maquinaria en faena agricolas,O'Higgins,6202,62,6,3-feb-2023 15:00
2022-2023,LOS ALPES,16-ene-2023 15:23,227.413674,Colchagua,San Fernando,233,2.1.2. Conflicto entre personas (venganza  conflictos familiares y  pasionales  otros),O'Higgins,6301,63,6,23-ene-2023 18:15
2022-2023,VALLE HERMOSO,11-dic-2022 14:00,315.912029,Colchagua,Palmilla,115,1.7.1. Uso de fuego por transeuntes,O'Higgins,6306,63,6,15-dic-2022 18:20
2022-2023,NERQUIHUE,7-dic-2022 15:50,225.352453,Colchagua,Lolol,103,1.2.5. Chispa de maquinaria en faena agricolas,O'Higgins,6304,63,6,13-dic-2022 17:35
2022-2023,LA LAJUELA,6-dic-2022 15:43,265.950779,Colchagua,Santa Cruz,98,2.1.11. Otros intencionales no clasificados,O'Higgins,6310,63,6,19-dic-2022 17:45
